"fecha","cantidad_viajes"
2022-01-03,16
2022-01-04,113
2022-01-05,79
2022-01-06,9
2022-01-07,23
2022-01-08,140
2022-01-09,50
2022-01-10,156
2022-01-11,116
2022-01-12,91
2022-01-13,140
2022-01-14,117
2022-01-15,226
2022-01-16,223
2022-01-17,161
2022-01-18,420
2022-01-19,28
2022-01-20,55
2022-01-21,190
2022-01-22,70
2022-01-23,33
2022-01-25,86
2022-01-26,243
2022-01-27,131
2022-01-28,45
2022-01-29,90
2022-01-30,35
2022-02-01,31
2022-02-02,27
2022-02-03,13
2022-02-04,60
2022-02-05,49
2022-02-06,56
2022-02-07,25
2022-02-08,37
2022-02-09,32
2022-02-10,14
2022-02-14,43
2022-02-15,84
2022-02-16,141
2022-02-17,116
2022-02-18,74
2022-02-19,96
2022-02-20,54
2022-02-21,339
2022-02-22,86
2022-02-23,140
2022-02-24,91
2022-02-25,70
2022-02-26,71
2022-02-27,28
2022-03-02,43
2022-03-04,18
2022-03-05,58
2022-03-06,14
2022-03-07,130
2022-03-08,64
2022-03-09,11
2022-03-10,3
2022-03-11,88
2022-03-12,68
2022-03-13,62
2022-03-14,87
2022-03-15,83
2022-03-16,252
2022-03-17,36
2022-03-18,32
2022-03-19,118
2022-03-20,27
2022-03-21,182
2022-03-22,61
2022-03-23,2
2022-03-24,61
2022-03-25,47
2022-03-26,149
2022-03-27,20
2022-03-29,82
2022-03-30,16
2022-03-31,20
2022-04-01,77
2022-04-02,33
2022-04-04,399
2022-04-05,11
2022-04-06,146
2022-04-07,51
2022-04-08,38
2022-04-09,36
2022-04-11,314
2022-04-12,9
2022-04-13,25
2022-04-14,66
2022-04-16,95
2022-04-18,4
2022-04-19,27
2022-04-20,72
2022-04-21,49
2022-04-22,104
2022-04-23,111
2022-04-24,30
2022-04-25,24
2022-04-26,330
2022-04-27,138
2022-04-28,594
2022-04-29,94
2022-04-30,20
2022-05-02,38
2022-05-03,397
2022-05-04,42
2022-05-05,137
2022-05-06,33
2022-05-07,167
2022-05-08,96
2022-05-09,34
2022-05-10,177
2022-05-11,107
2022-05-12,110
2022-05-13,61
2022-05-14,102
2022-05-15,29
2022-05-16,131
2022-05-17,63
2022-05-18,54
2022-05-19,130
2022-05-20,92
2022-05-21,165
2022-05-22,21
2022-05-23,73
2022-05-24,102
2022-05-25,47
2022-05-26,206
2022-05-27,33
2022-05-28,70
2022-05-29,17
2022-05-31,39
2022-06-01,68
2022-06-02,21
2022-06-03,39
2022-06-04,26
2022-06-07,72
2022-06-08,39
2022-06-09,68
2022-06-10,31
2022-06-11,47
2022-06-12,30
2022-06-13,4
2022-06-14,16
2022-06-15,41
2022-06-16,47
2022-06-17,38
2022-06-18,22
2022-06-21,36
2022-06-22,37
2022-06-23,151
2022-06-24,38
2022-06-25,48
2022-06-26,15
2022-06-27,19
2022-06-28,56
2022-06-29,27
2022-06-30,21
2022-07-02,85
2022-07-03,19
2022-07-04,214
2022-07-05,50
2022-07-06,31
2022-07-07,37
2022-07-08,54
2022-07-09,58
2022-07-10,35
2022-07-11,22
2022-07-12,24
2022-07-13,49
2022-07-14,67
2022-07-15,45
2022-07-16,70
2022-07-17,13
2022-07-18,2
2022-07-19,25
2022-07-20,116
2022-07-21,41
2022-07-22,49
2022-07-23,75
2022-07-24,34
2022-07-26,37
2022-07-27,211
2022-07-28,228
2022-07-29,34
2022-07-30,56
2022-07-31,34
2022-08-02,29
2022-08-03,39
2022-08-04,44
2022-08-05,43
2022-08-06,70
2022-08-07,26
2022-08-08,86
2022-08-09,40
2022-08-10,35
2022-08-11,47
2022-08-12,59
2022-08-13,68
2022-08-14,42
2022-08-16,4
2022-08-17,113
2022-08-18,37
2022-08-19,25
2022-08-20,52
2022-08-21,29
2022-08-22,3
2022-08-23,61
2022-08-24,250
2022-08-25,123
2022-08-26,68
2022-08-27,84
2022-08-28,30
2022-08-29,56
2022-08-30,87
2022-08-31,55
2022-09-02,72
2022-09-03,60
2022-09-04,26
2022-09-05,10
2022-09-06,163
2022-09-07,57
2022-09-08,45
2022-09-09,49
2022-09-10,50
2022-09-11,32
2022-09-12,9
2022-09-13,50
2022-09-14,55
2022-09-15,58
2022-09-16,50
2022-09-17,60
2022-09-18,33
2022-09-19,109
2022-09-20,50
2022-09-21,77
2022-09-22,36
2022-09-23,34
2022-09-24,61
2022-09-25,20
2022-09-26,44
2022-09-27,49
2022-09-28,45
2022-09-29,46
2022-09-30,77
2022-10-01,28
2022-10-02,25
2022-10-03,3
2022-10-04,44
2022-10-05,43
2022-10-06,44
2022-10-07,59
2022-10-08,80
2022-10-09,32
2022-10-10,14
2022-10-11,34
2022-10-12,63
2022-10-13,56
2022-10-14,31
2022-10-15,78
2022-10-16,31
2022-10-17,18
2022-10-18,73
2022-10-19,174
2022-10-20,27
2022-10-21,51
2022-10-22,59
2022-10-23,15
2022-10-24,10
2022-10-25,56
2022-10-26,46
2022-10-27,21
2022-10-28,108
2022-10-29,95
2022-11-01,47
2022-11-02,59
2022-11-03,48
2022-11-04,66
2022-11-05,21
2022-11-06,29
2022-11-07,18
2022-11-08,54
2022-11-09,28
2022-11-10,15
2022-11-11,44
2022-11-12,95
2022-11-13,15
2022-11-14,211
2022-11-15,29
2022-11-16,43
2022-11-17,45
2022-11-18,24
2022-11-19,72
2022-11-20,29
2022-11-21,11
2022-11-22,39
2022-11-23,154
2022-11-24,32
2022-11-25,29
2022-11-26,54
2022-11-27,15
2022-11-28,26
2022-11-29,50
2022-11-30,28
2022-12-01,4
2022-12-02,51
2022-12-03,45
2022-12-05,238
2022-12-06,30
2022-12-07,39
2022-12-08,15
2022-12-09,9
2022-12-10,75
2022-12-11,37
2022-12-12,17
2022-12-13,270
2022-12-14,60
2022-12-15,32
2022-12-16,42
2022-12-17,86
2022-12-18,32
2022-12-19,11
2022-12-20,64
2022-12-21,392
2022-12-22,497
2022-12-23,433
2022-12-24,259
2022-12-26,355
2022-12-27,40
2022-12-28,27
2022-12-29,51
2022-12-30,30
2022-12-31,29
2023-01-02,12
2023-01-03,31
2023-01-04,18
2023-01-05,40
2023-01-06,74
2023-01-07,62
2023-01-08,23
2023-01-09,17
2023-01-10,26
2023-01-12,3
2023-01-13,1
2023-01-14,3
2023-01-17,5
2023-01-18,3
2023-01-20,5
2023-01-21,3
2023-01-23,1
2023-01-24,3
2023-01-26,3
2023-01-27,5
2023-01-28,2
2023-01-30,7
2023-02-01,9
2023-02-02,2
2023-02-03,2
2023-02-04,6
2023-02-05,53
2023-02-08,3
2023-02-09,3
2023-02-10,10
2023-02-13,4
2023-02-14,4
2023-02-15,1
2023-02-17,5
2023-02-18,12
2023-02-20,3
2023-02-21,1
2023-02-22,3
2023-02-23,5
2023-02-24,2
2023-02-25,1
2023-02-27,3
2023-03-01,2
2023-03-02,3
2023-03-04,4
2023-03-06,3
2023-03-07,1
2023-03-08,1
2023-03-09,9
2023-03-10,10
2023-03-11,4
2023-03-13,2
2023-03-14,1
2023-03-15,3
2023-03-16,3
2023-03-17,13
2023-03-18,1
2023-03-20,2
2023-03-21,47
2023-03-22,5
2023-03-24,5
2023-03-25,2
2023-03-26,2
2023-03-27,4
2023-03-28,1
2023-03-29,8
2023-03-30,1
