"fecha","cantidad_viajes"
2022-01-01,653
2022-01-02,2018
2022-01-03,3742
2022-01-04,3929
2022-01-05,3408
2022-01-06,3781
2022-01-07,3962
2022-01-08,3854
2022-01-09,1838
2022-01-10,3904
2022-01-11,4117
2022-01-12,3568
2022-01-13,3560
2022-01-14,3728
2022-01-15,3258
2022-01-16,1628
2022-01-17,3926
2022-01-18,4069
2022-01-19,3948
2022-01-20,3834
2022-01-21,3895
2022-01-22,3692
2022-01-23,1681
2022-01-24,4122
2022-01-25,3960
2022-01-26,4007
2022-01-27,3653
2022-01-28,3623
2022-01-29,3630
2022-01-30,1744
2022-01-31,8
2022-02-01,4046
2022-02-02,3369
2022-02-03,3589
2022-02-04,3490
2022-02-05,2886
2022-02-06,1631
2022-02-07,4949
2022-02-08,4247
2022-02-09,4454
2022-02-10,4062
2022-02-11,3755
2022-02-12,3522
2022-02-13,1761
2022-02-14,4562
2022-02-15,4129
2022-02-16,3915
2022-02-17,3967
2022-02-18,4274
2022-02-19,3908
2022-02-20,1609
2022-02-21,4602
2022-02-22,3608
2022-02-23,3823
2022-02-24,3574
2022-02-25,3629
2022-02-26,3255
2022-02-27,1717
2022-02-28,108
2022-03-01,3007
2022-03-02,3709
2022-03-03,3479
2022-03-04,3599
2022-03-05,3050
2022-03-06,1764
2022-03-07,4243
2022-03-08,3820
2022-03-09,3722
2022-03-10,3360
2022-03-11,2844
2022-03-12,3376
2022-03-13,1547
2022-03-14,4420
2022-03-15,3777
2022-03-16,3400
2022-03-17,2609
2022-03-18,3335
2022-03-19,3191
2022-03-20,1384
2022-03-21,3761
2022-03-22,3674
2022-03-23,2454
2022-03-24,3433
2022-03-25,3945
2022-03-26,3320
2022-03-27,1645
2022-03-28,4016
2022-03-29,3839
2022-03-30,2963
2022-03-31,185
2022-04-01,3631
2022-04-02,3452
2022-04-03,1543
2022-04-04,3802
2022-04-05,3319
2022-04-06,4265
2022-04-07,3546
2022-04-08,3963
2022-04-09,3620
2022-04-10,1608
2022-04-11,3618
2022-04-12,3281
2022-04-13,3091
2022-04-14,1681
2022-04-15,197
2022-04-16,1748
2022-04-17,1201
2022-04-18,3721
2022-04-19,3435
2022-04-20,3427
2022-04-21,3321
2022-04-22,4350
2022-04-23,3078
2022-04-24,1600
2022-04-25,4298
2022-04-26,4168
2022-04-27,4229
2022-04-28,3525
2022-04-29,3757
2022-04-30,212
2022-05-01,2210
2022-05-02,2199
2022-05-03,5916
2022-05-04,4261
2022-05-05,4125
2022-05-06,4852
2022-05-07,4169
2022-05-08,1638
2022-05-09,4081
2022-05-10,3701
2022-05-11,3837
2022-05-12,3807
2022-05-13,3995
2022-05-14,2606
2022-05-15,1658
2022-05-16,4021
2022-05-17,3604
2022-05-18,3734
2022-05-19,3468
2022-05-20,3600
2022-05-21,3488
2022-05-22,1614
2022-05-23,4144
2022-05-24,3724
2022-05-25,3884
2022-05-26,2986
2022-05-27,3447
2022-05-28,3242
2022-05-29,1480
2022-05-30,3678
2022-05-31,206
2022-06-01,3471
2022-06-02,3396
2022-06-03,3699
2022-06-04,3572
2022-06-05,1392
2022-06-06,3785
2022-06-07,3358
2022-06-08,3377
2022-06-09,3415
2022-06-10,3700
2022-06-11,3185
2022-06-12,1575
2022-06-13,3825
2022-06-14,3283
2022-06-15,3560
2022-06-16,3545
2022-06-17,3751
2022-06-18,3427
2022-06-19,1795
2022-06-20,3708
2022-06-21,3175
2022-06-22,3493
2022-06-23,3136
2022-06-24,3249
2022-06-25,2791
2022-06-26,1351
2022-06-27,3429
2022-06-28,3510
2022-06-29,3022
2022-06-30,179
2022-07-01,3357
2022-07-02,3639
2022-07-03,1750
2022-07-04,4044
2022-07-05,4043
2022-07-06,3620
2022-07-07,3527
2022-07-08,3586
2022-07-09,3453
2022-07-10,1764
2022-07-11,3756
2022-07-12,3676
2022-07-13,3337
2022-07-14,3316
2022-07-15,3308
2022-07-16,2696
2022-07-17,1728
2022-07-18,3674
2022-07-19,3704
2022-07-20,3345
2022-07-21,3606
2022-07-22,3281
2022-07-23,3157
2022-07-24,1862
2022-07-25,3419
2022-07-26,3229
2022-07-27,2401
2022-07-28,3374
2022-07-29,3490
2022-07-30,3551
2022-07-31,106
2022-08-01,3219
2022-08-02,3735
2022-08-03,3992
2022-08-04,3569
2022-08-05,4019
2022-08-06,2974
2022-08-07,1711
2022-08-08,3939
2022-08-09,3560
2022-08-10,3691
2022-08-11,3608
2022-08-12,3480
2022-08-13,3169
2022-08-14,1705
2022-08-15,2094
2022-08-16,3648
2022-08-17,3540
2022-08-18,3047
2022-08-19,3627
2022-08-20,3552
2022-08-21,1621
2022-08-22,4023
2022-08-23,3546
2022-08-24,3559
2022-08-25,3040
2022-08-26,3471
2022-08-27,3536
2022-08-28,1733
2022-08-29,3898
2022-08-30,3569
2022-08-31,220
2022-09-01,3290
2022-09-02,3625
2022-09-03,3408
2022-09-04,1733
2022-09-05,4136
2022-09-06,3912
2022-09-07,3527
2022-09-08,3564
2022-09-09,3954
2022-09-10,3445
2022-09-11,1761
2022-09-12,3815
2022-09-13,4067
2022-09-14,3800
2022-09-15,4044
2022-09-16,3908
2022-09-17,3457
2022-09-18,2048
2022-09-19,3411
2022-09-20,4042
2022-09-21,3749
2022-09-22,3878
2022-09-23,3845
2022-09-24,3000
2022-09-25,1451
2022-09-26,3268
2022-09-27,2686
2022-09-28,2642
2022-09-29,2404
2022-09-30,188
2022-10-01,2585
2022-10-02,1412
2022-10-03,1439
2022-10-04,3123
2022-10-05,2860
2022-10-06,2158
2022-10-07,3113
2022-10-08,2638
2022-10-09,1151
2022-10-10,2644
2022-10-11,2577
2022-10-12,3076
2022-10-13,3059
2022-10-14,3686
2022-10-15,3603
2022-10-16,1832
2022-10-17,4278
2022-10-18,4257
2022-10-19,4015
2022-10-20,2838
2022-10-21,3430
2022-10-22,3087
2022-10-23,1664
2022-10-24,3806
2022-10-25,3916
2022-10-26,3537
2022-10-27,3145
2022-10-28,3787
2022-10-29,3071
2022-10-30,1666
2022-11-01,4252
2022-11-02,4364
2022-11-03,3871
2022-11-04,3998
2022-11-05,3441
2022-11-06,1233
2022-11-07,4304
2022-11-08,4113
2022-11-09,106
2022-11-10,3177
2022-11-11,3187
2022-11-12,2891
2022-11-13,1150
2022-11-14,3001
2022-11-15,3164
2022-11-16,2728
2022-11-17,2498
2022-11-18,2808
2022-11-19,2961
2022-11-20,1508
2022-11-21,2916
2022-11-22,3603
2022-11-23,2879
2022-11-24,3473
2022-11-25,3311
2022-11-26,3168
2022-11-27,1422
2022-11-28,3178
2022-11-29,2688
2022-11-30,165
2022-12-01,2372
2022-12-02,2703
2022-12-03,2992
2022-12-04,2177
2022-12-05,3784
2022-12-06,3733
2022-12-07,3570
2022-12-08,978
2022-12-09,3472
2022-12-10,3681
2022-12-11,2120
2022-12-12,4618
2022-12-13,4287
2022-12-14,4417
2022-12-15,4317
2022-12-16,4380
2022-12-17,4051
2022-12-18,2081
2022-12-19,4744
2022-12-20,4251
2022-12-21,4103
2022-12-22,4998
2022-12-23,5086
2022-12-24,2918
2022-12-25,815
2022-12-26,3758
2022-12-27,3760
2022-12-28,3817
2022-12-29,3920
2022-12-30,3886
2022-12-31,248
2023-01-01,979
2023-01-02,3458
2023-01-03,3283
2023-01-04,4189
2023-01-05,4227
2023-01-06,3379
2023-01-07,3277
2023-01-08,1930
2023-01-09,4045
2023-01-10,3899
2023-01-11,4301
2023-01-12,3748
2023-01-13,3758
2023-01-14,3258
2023-01-15,2039
2023-01-16,3766
2023-01-17,4065
2023-01-18,3287
2023-01-19,3240
2023-01-20,3587
2023-01-21,3333
2023-01-22,1624
2023-01-23,4131
2023-01-24,3650
2023-01-25,3607
2023-01-26,3851
2023-01-27,3484
2023-01-28,3380
2023-01-29,1771
2023-01-30,3909
2023-01-31,142
2023-02-01,3514
2023-02-02,3887
2023-02-03,3535
2023-02-04,3286
2023-02-05,1766
2023-02-06,4030
2023-02-07,3973
2023-02-08,3849
2023-02-09,3195
2023-02-10,3904
2023-02-11,3249
2023-02-12,2058
2023-02-13,3712
2023-02-14,3515
2023-02-15,2945
2023-02-16,3604
2023-02-17,3821
2023-02-18,3182
2023-02-19,1840
2023-02-20,3932
2023-02-21,4090
2023-02-22,3809
2023-02-23,3285
2023-02-24,3949
2023-02-25,3733
2023-02-26,1505
2023-02-27,1978
2023-02-28,145
2023-03-01,3227
2023-03-02,2890
2023-03-03,3345
2023-03-04,3836
2023-03-05,2174
2023-03-06,4813
2023-03-07,4467
2023-03-08,4484
2023-03-09,3809
2023-03-10,3693
2023-03-11,3886
2023-03-12,2157
2023-03-13,4925
2023-03-14,4190
2023-03-15,3842
2023-03-16,3939
2023-03-17,4620
2023-03-18,4225
2023-03-19,1976
2023-03-20,4516
2023-03-21,3829
2023-03-22,4282
2023-03-23,4213
2023-03-24,3954
2023-03-25,3423
2023-03-26,1829
2023-03-27,4561
2023-03-28,4387
2023-03-29,4282
2023-03-30,3396
2023-03-31,182
