"fecha","cantidad_viajes"
2022-01-01,2432
2022-01-02,5697
2022-01-03,17292
2022-01-04,20047
2022-01-05,20477
2022-01-06,19339
2022-01-07,19206
2022-01-08,14507
2022-01-09,5669
2022-01-10,19566
2022-01-11,18979
2022-01-12,19119
2022-01-13,18314
2022-01-14,19099
2022-01-15,13611
2022-01-16,5465
2022-01-17,17864
2022-01-18,17903
2022-01-19,17427
2022-01-20,17878
2022-01-21,17594
2022-01-22,13963
2022-01-23,5504
2022-01-24,18134
2022-01-25,17732
2022-01-26,18427
2022-01-27,17192
2022-01-28,19233
2022-01-29,14532
2022-01-30,6210
2022-01-31,339
2022-02-01,19340
2022-02-02,19253
2022-02-03,19437
2022-02-04,19129
2022-02-05,14802
2022-02-06,6441
2022-02-07,20898
2022-02-08,20266
2022-02-09,20377
2022-02-10,20126
2022-02-11,20803
2022-02-12,15364
2022-02-13,6587
2022-02-14,20547
2022-02-15,20625
2022-02-16,20754
2022-02-17,21534
2022-02-18,22032
2022-02-19,16851
2022-02-20,7096
2022-02-21,21367
2022-02-22,21292
2022-02-23,22068
2022-02-24,21078
2022-02-25,22062
2022-02-26,16956
2022-02-27,6663
2022-02-28,588
2022-03-01,19585
2022-03-02,22248
2022-03-03,21988
2022-03-04,22404
2022-03-05,16937
2022-03-06,6619
2022-03-07,23123
2022-03-08,22187
2022-03-09,22635
2022-03-10,21351
2022-03-11,19194
2022-03-12,17149
2022-03-13,7021
2022-03-14,21853
2022-03-15,21061
2022-03-16,21619
2022-03-17,22885
2022-03-18,21950
2022-03-19,16737
2022-03-20,6716
2022-03-21,23172
2022-03-22,21920
2022-03-23,17029
2022-03-24,21083
2022-03-25,22509
2022-03-26,17384
2022-03-27,7413
2022-03-28,22146
2022-03-29,23341
2022-03-30,19222
2022-03-31,943
2022-04-01,21822
2022-04-02,18605
2022-04-03,7748
2022-04-04,20832
2022-04-05,20328
2022-04-06,24095
2022-04-07,22925
2022-04-08,24067
2022-04-09,18455
2022-04-10,8078
2022-04-11,20755
2022-04-12,23172
2022-04-13,17662
2022-04-14,7433
2022-04-15,2363
2022-04-16,8368
2022-04-17,7492
2022-04-18,23341
2022-04-19,23073
2022-04-20,23857
2022-04-21,21386
2022-04-22,23732
2022-04-23,17083
2022-04-24,8354
2022-04-25,22426
2022-04-26,24498
2022-04-27,22959
2022-04-28,23383
2022-04-29,22570
2022-04-30,1261
2022-05-01,7736
2022-05-02,7049
2022-05-03,22001
2022-05-04,23175
2022-05-05,22852
2022-05-06,24400
2022-05-07,18694
2022-05-08,8666
2022-05-09,22798
2022-05-10,23425
2022-05-11,24004
2022-05-12,24731
2022-05-13,23837
2022-05-14,12147
2022-05-15,9294
2022-05-16,23537
2022-05-17,23404
2022-05-18,23669
2022-05-19,22487
2022-05-20,24474
2022-05-21,18321
2022-05-22,8157
2022-05-23,23082
2022-05-24,24062
2022-05-25,23412
2022-05-26,21626
2022-05-27,21460
2022-05-28,17717
2022-05-29,7219
2022-05-30,23927
2022-05-31,854
2022-06-01,23308
2022-06-02,23635
2022-06-03,24318
2022-06-04,18861
2022-06-05,8441
2022-06-06,23395
2022-06-07,24068
2022-06-08,24361
2022-06-09,24209
2022-06-10,23969
2022-06-11,18655
2022-06-12,7173
2022-06-13,24549
2022-06-14,24339
2022-06-15,25518
2022-06-16,24695
2022-06-17,25199
2022-06-18,19027
2022-06-19,8725
2022-06-20,25270
2022-06-21,25843
2022-06-22,24565
2022-06-23,22536
2022-06-24,24641
2022-06-25,16983
2022-06-26,7511
2022-06-27,23914
2022-06-28,25004
2022-06-29,24981
2022-06-30,1018
2022-07-01,25063
2022-07-02,19435
2022-07-03,9089
2022-07-04,25641
2022-07-05,27340
2022-07-06,26274
