EPS,Lineas,EmpresaAfiliada,NoBus,IDValidador,idsam
TDP S.A.,44,XIMEX S.A.,"1,801",332-040-556,288
TDP S.A.,44,XIMEX S.A.,"1,803",332-040-501,285
TDP S.A.,44,XIMEX S.A.,"1,804",332-040-719,313
TDP S.A.,44,XIMEX S.A.,"1,805",332-039-032,392
TDP S.A.,44,XIMEX S.A.,"1,806",332-040-506,286
TDP S.A.,44,XIMEX S.A.,"1,807",332-040-736,272
TDP S.A.,44,XIMEX S.A.,"1,808",332-040-510,292
TDP S.A.,44,XIMEX S.A.,"1,809",332-040-511,291
TDP S.A.,44,XIMEX S.A.,"1,810",332-040-807,315
TDP S.A.,44,XIMEX S.A.,"1,811",332-038-997,312
TDP S.A.,44,XIMEX S.A.,"1,812",332-038-529,431
TDP S.A.,44,XIMEX S.A.,"1,813",332-040-504,284
TDP S.A.,44,XIMEX S.A.,"1,814",332-038-926,265
TDP S.A.,44,XIMEX S.A.,"1,815",332-040-542,281
TDP S.A.,44,XIMEX S.A.,"1,816",332-039-117,331
TDP S.A.,44,XIMEX S.A.,"1,817",332-040-550,282
TDP S.A.,44,XIMEX S.A.,"1,818",332-040-827,40
TDP S.A.,44,XIMEX S.A.,"1,819",332-040-503,293
TDP S.A.,44,XIMEX S.A.,"1,820",332-038-740,145
TDP S.A.,44,XIMEX S.A.,"1,821",332-039-068,352
TDP S.A.,44,XIMEX S.A.,"1,822",332-040-721,294
TDP S.A.,12 y 43,MAGNO S.A.,1,332-040-819,38
TDP S.A.,12 y 43,MAGNO S.A.,2,332-040-845,53
TDP S.A.,12 y 43,MAGNO S.A.,3,332-040-738,110
TDP S.A.,12 y 43,MAGNO S.A.,4,332-038-908,102
TDP S.A.,12 y 43,MAGNO S.A.,5,332-040-499,65
TDP S.A.,12 y 43,MAGNO S.A.,6,332-040-634,64
TDP S.A.,12 y 43,MAGNO S.A.,7,332-040-826,31
TDP S.A.,12 y 43,MAGNO S.A.,8,332-040-492,85
TDP S.A.,12 y 43,MAGNO S.A.,9,332-040-478,136
TDP S.A.,12 y 43,MAGNO S.A.,11,332-040-636 ,114
TDP S.A.,12 y 43,MAGNO S.A.,12,332-039-115,231
TDP S.A.,12 y 43,MAGNO S.A.,14,332-039-094,123
TDP S.A.,12 y 43,MAGNO S.A.,15,332-040-729,50
TDP S.A.,12 y 43,MAGNO S.A.,16,332-039-010,58
TDP S.A.,12 y 43,MAGNO S.A.,17,332-039-012,112
TDP S.A.,12 y 43,MAGNO S.A.,18,332-040-808,35
TDP S.A.,12 y 43,MAGNO S.A.,19,332-038-802,216
TDP S.A.,12 y 43,MAGNO S.A.,20,332-040-650,55
TDP S.A.,12 y 43,MAGNO S.A.,21,332-040-483,122
TDP S.A.,12 y 43,MAGNO S.A.,22,332-040-497,93
TDP S.A.,12 y 43,MAGNO S.A.,23,332-038-947,119
TDP S.A.,12 y 43,MAGNO S.A.,24,332-040-804,48
TDP S.A.,12 y 43,MAGNO S.A.,25,332-039-007,111
TDP S.A.,12 y 43,MAGNO S.A.,26,332-039-081,223
TDP S.A.,12 y 43,MAGNO S.A.,27,332-040-818,63
TDP S.A.,12 y 43,MAGNO S.A.,28,332-021-006,56
TDP S.A.,12 y 43,MAGNO S.A.,29,332-040-691,26
TDP S.A.,12 y 43,MAGNO S.A.,30,332-038-911,68
TDP S.A.,12 y 43,MAGNO S.A.,31,332-039-082,232
TDP S.A.,12 y 43,MAGNO S.A.,32,332-040-626,113
TDP S.A.,12 y 43,MAGNO S.A.,33,332-040-775,78
TDP S.A.,12 y 43,MAGNO S.A.,34,332-040-754,91
TDP S.A.,12 y 43,MAGNO S.A.,35,332-038-743,498
TDP S.A.,12 y 43,MAGNO S.A.,37,332-040-459,69
TDP S.A.,12 y 43,MAGNO S.A.,38,332-040-847,130
TDP S.A.,12 y 43,MAGNO S.A.,39,332-040-460,88
TDP S.A.,12 y 43,MAGNO S.A.,40,332-038-919,260
TDP S.A.,12 y 43,MAGNO S.A.,41,332-040-821,97
TDP S.A.,12 y 43,MAGNO S.A.,42,332-040-455,107
TDP S.A.,12 y 43,MAGNO S.A.,43,332-040-674,460
TDP S.A.,12 y 43,MAGNO S.A.,44,332-040-656,80
TDP S.A.,12 y 43,MAGNO S.A.,45,332-038-801,214
TDP S.A.,12 y 43,MAGNO S.A.,47,332-040-839,89
TDP S.A.,12 y 43,MAGNO S.A.,48,332-040-657,81
TDP S.A.,12 y 43,MAGNO S.A.,49,332-036-992,25
TDP S.A.,12 y 43,MAGNO S.A.,50,332-040-463,66
