EPS,Lineas,EmpresaAfiliada,NoBus,IDValidador,idsam
EPAS S.A.,38,Mcal. Lopez,3,1811050116,04352AD2955D80
EPAS S.A.,38,Mcal. Lopez,5,1811050114,043525D2955D80
EPAS S.A.,38,Mcal. Lopez,8,1811050113,04352FD2955D80
EPAS S.A.,38,Mcal. Lopez,10,1811050032,04370DD2955D80
EPAS S.A.,38,Mcal. Lopez,12,1811050079,043527D2955D80
EPAS S.A.,38,Mcal. Lopez,17,1811050089,04352DD2955D80
EPAS S.A.,38,Mcal. Lopez,18,1811050111,041F38D2955D80
EPAS S.A.,38,Mcal. Lopez,20,1811050128,041F14D2955D80
EPAS S.A.,38,Mcal. Lopez,25,1811050104,04372AD2955D80
EPAS S.A.,38,Mcal. Lopez,26,1811050066,042021D2955D80
EPAS S.A.,38,Mcal. Lopez,27,1811050148,041F33D2955D80
EPAS S.A.,38,Mcal. Lopez,28,1811050266,04311A22B95A80
EPAS S.A.,38,Mcal. Lopez,30,1811050149,04372CD2955D80
EPAS S.A.,38,Mcal. Lopez,33,1811050126,042022D2955D80
EPAS S.A.,38,Mcal. Lopez,38,1811050120,041F34D2955D80
EPAS S.A.,38,Mcal. Lopez,39,1811050082,043715D2955D80
EPAS S.A.,38,Mcal. Lopez,40,1811050091,04353FD2955D80
EPAS S.A.,38,Mcal. Lopez,41,1811050115,04362DD2955D80
EPAS S.A.,38,Mcal. Lopez,42,1811050125,042020D2955D80
EPAS S.A.,38,Mcal. Lopez,43,1811050130,04362ED2955D80
EPAS S.A.,38,Mcal. Lopez,51,1811050121,043729D2955D80
EPAS S.A.,38,Mcal. Lopez,52,1811050072,042038D2955D80
EPAS S.A.,38,Mcal. Lopez,53,1811050236,04311E22B95A80
EPAS S.A.,38,Mcal. Lopez,54,1811050103,041F36D2955D80
EPAS S.A.,38,Mcal. Lopez,56,1811050112,041F35D2955D80
EPAS S.A.,38,Mcal. Lopez,61,1811050132,041F3BD2955D80
EPAS S.A.,38,Mcal. Lopez,62,1811050062,042033D2955D80
